Mass [Mearth]	Radius [Rearth]	WMF core [Mearth]	WMF mantle [Mearth]	WMF atm1 [Mearth]	WMF atm2 [Mearth]	total WMF	Teq [K]
0.499437336	1.498788314	3.68E-03	1.02E-02	0	9.18E-04	3.00E-02	1400
7.370810562	2.152755645	1.426323633	0.752923039	0	2.87E-02	0.299999994	700
8.924771113	2.212551289	1.861654511	0.790963156	0	2.24E-02	0.299999994	700
10.67841281	2.276863284	2.342353242	0.846175102	0	1.84E-02	0.299999994	700
12.64910272	2.344442623	2.881948517	0.900346141	0	1.63E-02	0.299999994	700
14.85615124	2.404560061	3.581222137	0.867464989	0	1.50E-02	0.299999994	700
17.29947741	2.46895651	4.342310431	0.840498497	0	1.45E-02	0.299999994	700
20.00388148	2.535911642	5.158504055	0.831666242	0	1.42E-02	0.299999994	700
0.501906889	2.28237749	9.58E-03	8.66E-02	1.94E-02	8.53E-02	0.399999993	700
0.782412472	2.039309823	2.11E-02	0.166870433	3.82E-02	8.64E-02	0.399999993	700
1.157721444	1.976384396	4.45E-02	0.283540607	5.11E-02	8.58E-02	0.399999993	700
1.634120032	1.977680964	8.84E-02	0.425816818	5.66E-02	8.35E-02	0.399999993	700
2.22670558	2.010160224	0.167084335	0.584441996	5.78E-02	8.07E-02	0.399999993	700
2.949043131	2.059522236	0.295208691	0.748259536	5.54E-02	7.77E-02	0.399999993	700
3.810907129	2.112659379	0.502839908	0.893544563	5.00E-02	7.42E-02	0.399999993	700
4.831644809	2.171756148	0.799192227	1.021178942	4.15E-02	7.08E-02	0.399999993	700
6.007156882	2.229043126	1.192996516	1.111162424	2.92E-02	6.72E-02	0.399999993	700
7.373987637	2.287393966	1.692335331	1.177219256	1.44E-02	6.37E-02	0.399999993	700
8.924352478	2.346408638	2.281138213	1.224199922	1.09E-03	6.06E-02	0.399999993	700
10.68444958	2.399719942	2.959183589	1.247658878	0	4.74E-02	0.399999993	700
12.65303254	2.461804911	3.713976266	1.307608529	0	3.88E-02	0.399999993	700
14.8562253	2.528345887	4.519710067	1.392795035	0	3.24E-02	0.399999993	700
17.30809654	2.585665216	5.398096493	1.503660869	0	2.81E-02	0.399999993	700
20.00702877	2.651560131	6.480172368	1.497693738	0	2.66E-02	0.399999993	700
